asof,recorded_utc,order_id,perm_id,sleeve,instrument,action,qty
2026-09-04 00:00:00,2026-09-04T21:58:29.397310+00:00,10,0,cef_discount,NAD,BUY,1579.0
2026-09-04 00:00:00,2026-09-04T21:58:29.397518+00:00,11,0,cef_discount,NEA,BUY,201.0
2026-09-04 00:00:00,2026-09-04T21:58:29.397730+00:00,12,0,cef_discount,NVG,BUY,173.0
2026-09-04 00:00:00,2026-09-04T21:58:29.397938+00:00,13,0,cef_discount,NZF,BUY,4262.0
2026-09-04 00:00:00,2026-09-04T21:58:29.398160+00:00,14,0,cef_discount,PCN,SELL,1400.0
2026-09-04 00:00:00,2026-09-04T21:58:29.398369+00:00,15,0,cef_discount,PDI,SELL,356.0
2026-09-04 00:00:00,2026-09-04T21:58:29.398623+00:00,16,0,cef_discount,PDO,BUY,1212.0
2026-09-04 00:00:00,2026-09-04T21:58:29.398830+00:00,17,0,cef_discount,PFN,BUY,996.0
2026-09-04 00:00:00,2026-09-04T21:58:29.399038+00:00,18,0,cef_discount,PHK,BUY,697.0
2026-09-04 00:00:00,2026-09-04T21:58:29.399246+00:00,19,0,cef_discount,PTY,SELL,1454.0
