spec,group,ticker,n,beta,t
D close->close  T+1 EXEC,PREF,FPE,1903,0.08732493767084229,3.823793869204193
D close->close  T+1 EXEC,MBS,VMBS,1903,0.10837271162512867,4.755202828171358
D close->close  T+1 EXEC,MBS,SPMB,1903,-0.04982563635138671,-2.1762588396869798
D close->close  T+1 EXEC,LOAN,SRLN,1903,-0.02877403583877498,-1.255915537135596
D close->close  T+1 EXEC,LOAN,JBBB,1137,0.015071771717339803,0.508444840291809
D close->close  T+1 EXEC,LOAN,CLOI,1026,-0.06609884684689314,-2.126713934256419
D close->close  T+1 EXEC,EM,EMHY,1903,-0.1427528454721138,-6.292001144402028
D close->close  T+1 EXEC,EM,VWOB,1903,-0.06433350237252643,-2.812531960838542
D close->close  T+1 EXEC,EM,PCY,1903,-0.08275784908881947,-3.6183138270393735
D close->close  T+1 EXEC,UST_ctl,SHY,1903,0.09681486283392826,4.241597276966891
D close->close  T+1 EXEC,UST_ctl,IEI,1903,0.10433982280503998,4.573216324931741
D close->close  T+1 EXEC,UST_ctl,TLH,1903,0.024784119114599157,1.0639588575460082
D close->close  T+1 EXEC,UST_ctl,GOVT,1903,0.0917983142774573,4.0215411534410475
