snapshot,ts,ticker,bid,ask,mid,half_spread_bp,bid_depth_usd,ask_depth_usd
1,2026-07-28T20:32:19.221892-04:00,VCLT,72.26,73.0,72.63,50.94313644499483,722600.0,10950000.0
1,2026-07-28T20:32:19.221892-04:00,IGSB,52.1,52.35,52.225,23.934897079942555,1042000.0,1570500.0
1,2026-07-28T20:32:19.221892-04:00,LQDH,91.1,93.6,92.35,135.3546291283162,911000.0,936000.0
1,2026-07-28T20:32:19.221892-04:00,BKLN,20.4,20.55,20.475,36.63003663003715,2039999.9999999998,2671500.0
1,2026-07-28T20:32:19.221892-04:00,SRLN,40.36,40.56,40.46,24.715768660405686,2018000.0,811200.0
1,2026-07-28T20:32:19.221892-04:00,JAAA,50.64,50.65,50.644999999999996,0.9872642906504108,1012800.0,506500.0
1,2026-07-28T20:32:19.221892-04:00,JBBB,47.08,47.5,47.29,44.406851342778786,470800.0,19000000.0
1,2026-07-28T20:32:19.221892-04:00,EMB,94.4,97.8,96.1,176.8990634755459,944000.0,978000.0
1,2026-07-28T20:32:19.221892-04:00,PFF,30.22,30.5,30.36,46.11330698287239,3022000.0,915000.0
1,2026-07-28T20:32:19.221892-04:00,CWB,94.59,106.01,100.30000000000001,569.2921236291127,945900.0,1060100.0
1,2026-07-28T20:32:19.221892-04:00,SHY,81.92,81.96,81.94,2.4408103490353943,819200.0,819599.9999999999
1,2026-07-28T20:32:19.221892-04:00,IEI,114.0,118.75,116.375,204.0816326530612,1140000.0,19000000.0
