recorded_utc,fill_date,instrument,side,qty,price,source,note
2026-07-31T21:20:29.412816+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae3a.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.414992+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae3b.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.416996+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae3c.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.418972+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae3d.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.421056+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae3e.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.423173+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae3f.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.425095+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae40.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.427022+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae41.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.428954+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae42.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.431130+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae43.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.433282+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae44.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.435402+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae45.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.437440+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae46.01.01 orderRef='' commission=1.045117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.439553+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae47.01.01 orderRef='' commission=0.045117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.441744+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae48.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.443971+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae49.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.446048+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae4a.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.448471+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae4b.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.450914+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae4c.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.453176+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae4d.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.455357+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae4e.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.457472+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae4f.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.459602+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae50.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.461691+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae51.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.463898+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae52.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.466093+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae53.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.468607+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae54.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.470956+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae55.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.473290+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae56.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.475527+00:00,2026-07-31,NZF,SELL,100.0,12.29,ibkr_paper,execId=00012ec5.6a6cae57.01.01 orderRef='' commission=0.545117 time=2026-07-31 11:28:18+00:00
