fill_date,decision_date,ticker,side,shares,decision_price,close_price,fill_price,half_spread_bp,impact_bp,slip_vs_decision_bp,participation_pct,over_participation_cap,notional_usd,cost_usd,reason
2026-08-13,2026-08-12,HYT,BUY,10.0,8.420000076293945,8.40999984741211,8.421943910373933,14.08,0.1222154322625567,2.308591523010328,0.0012661433274246,False,84.21943910373933,0.1194406296182393,target
2026-08-13,2026-08-12,NZF,BUY,12.0,12.34000015258789,12.449999809265137,12.462805243544818,9.96,0.3254895388432306,99.51790067942,0.0028355387523629,False,149.5536629225378,0.15366521135617,target
2026-08-13,2026-08-12,PDI,BUY,15.0,16.06999969482422,15.869999885559082,15.881325889352633,6.96,0.1767384216915569,-117.40747296488996,0.0005457919441109,False,238.2198883402895,0.1698900569032613,target
2026-08-13,2026-08-12,BIT,BUY,17.0,12.279999732971191,12.279999732971191,12.291952566234452,9.52,0.2135777876028741,9.733577787602863,0.0038340099233198,False,208.9631936259857,0.2031981654754524,target
2026-08-14,2026-08-13,BIT,SELL,88.0,12.279999732971191,12.170000076293944,12.157816931514123,9.52,0.4908009066916,99.4973974869162,0.0157030692362598,False,-1069.887889973243,1.072116740624196,target
2026-08-14,2026-08-13,DSL,SELL,62.0,10.800000190734863,10.84000015258789,10.826988428972378,11.08,0.9234349006970676,-24.989109037856228,0.0165642532727758,False,-671.2732825962875,0.8067268641618028,target
2026-08-14,2026-08-13,HYT,SELL,45.0,8.40999984741211,8.319999694824219,8.308027883943682,14.08,0.3091962976695488,121.25085055715634,0.005658953722334,False,-373.86125477746566,0.5387314896241602,target
2026-08-14,2026-08-13,AWF,SELL,23.0,10.18000030517578,10.149999618530272,10.137785302147488,11.76,0.2738096963929189,41.46856754692951,0.0059034907597535,False,-233.1690619493922,0.2809292768040965,target
2026-08-14,2026-08-13,PTY,SELL,9.0,11.760000228881836,11.729999542236328,11.718486913731612,9.65,0.1646879403213046,35.3004373658683,0.0009438909281594,False,-105.4663822235845,0.1036136565424481,target
2026-08-14,2026-08-13,PCN,SELL,5.0,11.81999969482422,11.770000457763672,11.758085570771565,9.9,0.2230981552349246,52.38081696378294,0.001610305958132,False,-58.790427853857814,0.0595744349605453,target
