recorded_utc,fill_date,instrument,side,qty,price,source,note
2026-09-10T16:08:08.509458+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55252e.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.513542+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55252f.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.517667+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552530.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.521880+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552531.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.526185+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552532.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.530678+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552533.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.534941+00:00,2026-09-10,SRLN,SELL,94.0,40.49,ibkr_paper,execId=00012ec5.6b552571.01.01 orderRef='' commission=0.567017 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.539077+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552572.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.543255+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552573.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.547435+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552574.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
