k,car_bp,se_bp,t,n
30,-51.05824317873833,27.131383644099937,-1.8818886588499364,2724
31,-45.58536326107841,27.256106733145845,-1.6724825635365803,2724
32,-40.62530491770317,27.761621834529443,-1.4633620888522474,2724
33,-35.318983782442736,27.776107447991453,-1.2715598774441206,2724
34,-29.894561000212594,28.10422018540474,-1.06370362895668,2724
35,-33.98274465013474,28.207626211631645,-1.2047360665932845,2724
36,-30.649604559343626,28.290563646254405,-1.0833861404313714,2724
37,-21.599823413659575,28.31962334205795,-0.7627157731854898,2724
38,-21.930905071342316,27.954077856502447,-0.7845333043687195,2724
39,-15.167517614816715,27.62945548608328,-0.5489618723197952,2724
40,-29.52582854179903,27.037977963429938,-1.092013189068133,2724
41,-29.4967934737538,27.109568609535224,-1.0880583862695226,2724
42,-25.31840537987827,27.07070209107739,-0.9352696245075711,2724
43,-29.631693182894086,26.864853235593692,-1.1029910687780926,2724
44,-25.957170266710254,27.054807453663713,-0.9594291259018064,2724
45,-17.11291728374521,27.093236504189868,-0.6316306020175464,2724
46,-13.091875054767124,27.28868673482521,-0.4797546757008122,2724
47,-5.448597178624023,27.22499426844096,-0.2001321699060926,2724
48,-1.8304956532913803,27.279321935663308,-0.06710194841383879,2724
49,1.6115231365380944,27.32670875844005,0.058972456243577595,2724
50,-2.2312903428130597,27.396007214767213,-0.08144582257265329,2724
51,0.863238949123877,26.90648783972345,0.032082929376216554,2724
52,-12.149850160537847,26.71865124366155,-0.45473291483679024,2724
53,-30.296724403935535,26.27079183627008,-1.1532474769986627,2724
54,-57.01750351148635,25.45142750654361,-2.2402477620096968,2724
55,-89.90540866508462,24.607145186986443,-3.653630194884669,2724
56,-41.363480605133915,25.88891895138565,-1.5977291551959538,2724
57,-19.999814605087337,26.55583859627193,-0.7531230668006482,2724
58,-79.18254715328254,25.742321447137442,-3.0759676168245376,2724
59,-14.077415053672679,27.86818082252224,-0.5051429493487328,2724
60,-2.7878600328555336,27.989271119377374,-0.09960459566685387,2724
