ticker,grp,adv,h,n,beta_px,t_px,beta_nav,t_nav
DHY,hy,1510842.567883219,10,6130,-2.472616571725852,-0.19530439734545085,31.126830133367474,3.272209911580512
DHY,hy,1510842.567883219,21,6119,-13.531672711916597,-0.6341639264198622,46.47554179892689,2.5505904069380505
DHY,hy,1510842.567883219,63,6077,-12.82369120940788,-0.2332868281986867,94.39117522515862,1.9006672455854368
DSL,multi,6208755.805510567,5,3208,-7.597339822760112,-0.7854552580709925,21.785237417034605,2.1649717000513093
DSL,multi,6208755.805510567,10,3203,-6.642061296769211,-0.4787178793551917,36.61350646788054,2.325251303898554
DSL,multi,6208755.805510567,21,3192,-5.042353917290415,-0.23619337457632208,56.68390692925491,2.7387611173623934
DSL,multi,6208755.805510567,63,3150,8.28390616631622,0.1269016636245741,97.73453441523598,1.998607560017712
EAD,hy,1782070.7679476056,5,5752,-8.688257047062645,-1.0606944612267843,11.70468172851032,2.625962283922187
EAD,hy,1782070.7679476056,10,5747,-9.94867829668728,-0.7125163025583865,20.251582384845587,2.1683575615980284
EAD,hy,1782070.7679476056,21,5736,-16.17862927185487,-0.6310535766858378,33.01908688761666,1.6139962113985276
EAD,hy,1782070.7679476056,63,5694,-8.09779775734725,-0.1434782381195538,64.12562948471592,1.3517941366183486
EDD,emd,3118981.4021996087,5,4643,-9.517535529109184,-0.9726230533955345,8.944060797117888,1.6298613882107826
EDD,emd,3118981.4021996087,10,4638,-6.1045936574838136,-0.4170031088606226,19.93713747005249,1.8460565817801204
EDD,emd,3118981.4021996087,21,4627,0.07348285754959831,0.0023369496056844198,38.894053458153074,1.788265171400383
EDD,emd,3118981.4021996087,63,4585,45.75115982099058,0.541981539469492,108.64920239780687,1.889437354602633
EDF,emd,705375.9575571333,5,3791,-47.06845837944553,-4.6300620879127745,-10.960510382231114,-1.9613447522000997
EDF,emd,705375.9575571333,10,3786,-64.28912039788354,-3.934290732282922,-21.67714406072685,-1.9433475858989027
EDF,emd,705375.9575571333,21,3775,-103.96682702937031,-2.9948377136248148,-44.52848003142225,-1.7454229065881286
EDF,emd,705375.9575571333,63,3733,-245.04775419636402,-2.412517312667748,-129.02821816090656,-1.699901429491948
EFR,loan,922942.1475773766,5,5552,0.08912492180942079,0.017085942755045942,12.675162693009325,3.578451061691371
EFR,loan,922942.1475773766,10,5547,2.5525982092536474,0.29715459816349066,18.99132353667697,2.6960351529133773
EFR,loan,922942.1475773766,21,5536,3.321671264559934,0.17433446453283866,27.070883300686774,1.537078046207268
EFR,loan,922942.1475773766,63,5494,26.065629811497015,0.420254632281866,57.54206444440842,0.9443992097925614
EFT,loan,627108.2326117016,5,5413,0.2725293619712867,0.05341870631221695,12.381326055518146,3.5155199065632092
EFT,loan,627108.2326117016,10,5408,3.37298448018044,0.4039827800387343,18.979964735297585,2.687513514749694
EFT,loan,627108.2326117016,21,5397,0.35510184707196657,0.018322957541200686,23.302309318470268,1.3411988574558678
EFT,loan,627108.2326117016,63,5355,13.563245559187692,0.21708819175066335,52.75000236930185,0.861329863070313
EMD,emd,1984451.3801983423,5,5565,-10.94614432491959,-1.6479291502962559,6.553928037784726,1.6499356821842797
EMD,emd,1984451.3801983423,10,5560,-17.704378631962825,-1.5105507509347178,10.01168340991052,1.1133041897345881
EMD,emd,1984451.3801983423,21,5549,-35.77887708017581,-1.4197420835027947,8.793938936417462,0.43860804489380806
EMD,emd,1984451.3801983423,63,5507,-68.05741849878267,-1.2451487543571107,-11.30906922838438,-0.258249876501702
FCT,loan,1672318.080107371,5,5444,-0.8534806234064412,-0.1324449237497997,8.591630845893613,1.8478888111417042
FCT,loan,1672318.080107371,10,5439,-0.6817940788981631,-0.059533325643925106,11.873065734667009,1.2622333629974318
FCT,loan,1672318.080107371,21,5428,-8.049325309666104,-0.3271983570064131,13.39417968530777,0.6512110042743258
FCT,loan,1672318.080107371,63,5386,2.0024866887090638,0.0274690512626993,33.968857937191025,0.5245271335235732
GHY,hy,1560851.5746479945,5,3290,-15.147372765877284,-2.2676376642204668,-1.0911946337532772,-0.3480428575841112
GHY,hy,1560851.5746479945,10,3285,-20.88399581346834,-2.0013181921261647,-3.9873532549737045,-0.6830227680708687
GHY,hy,1560851.5746479945,21,3274,-34.503546181033265,-1.3849456913331255,-12.02403331738026,-0.6931259119223231
GHY,hy,1560851.5746479945,63,3232,-53.403499607521034,-0.870533688175247,-28.750461436013264,-0.5958572057222967
HIO,hy,1381412.4801442737,5,6853,-5.965030405715228,-1.1273373652875394,10.208111783735317,3.6594586346909472
HIO,hy,1381412.4801442737,10,6848,-5.607909238159444,-0.6941664009032771,17.056653797317853,3.0415545502349017
HIO,hy,1381412.4801442737,21,6837,-6.1780150492360235,-0.3912754224616486,25.90139235427732,2.034249638074194
HIO,hy,1381412.4801442737,63,6795,26.017697456820766,0.676673087109395,68.17779678339228,1.851046377634949
HYT,hy,6137474.845522926,5,5703,-4.025076670833147,-0.6715357775106285,13.10894520187253,3.594091962547668
HYT,hy,6137474.845522926,10,5698,2.113397852883117,0.20816583081498932,24.85331582238747,3.0875284656837563
HYT,hy,6137474.845522926,21,5687,4.8889593975063885,0.2303349496725838,41.743702284700085,2.123892065030793
HYT,hy,6137474.845522926,63,5645,55.740033235993955,1.0366715399208148,113.21918203010935,1.9502779116070996
ISD,hy,1537344.8046548027,5,3457,-9.350271073595929,-1.8921857108517426,-0.4638477919085632,-0.15891252402356487
ISD,hy,1537344.8046548027,10,3452,-15.920111251480472,-1.918071372154805,-4.653594968704388,-1.018338388695089
ISD,hy,1537344.8046548027,21,3441,-25.570458064168562,-1.1728269906951554,-13.089158716183864,-0.9377655790420218
ISD,hy,1537344.8046548027,63,3399,-21.453600657466016,-0.4267164258889173,-20.765135884722135,-0.5838268954920354
JFR,loan,3647146.252604893,5,5462,0.48768729070313216,0.07586861562283426,12.26773500076767,2.814562906334771
JFR,loan,3647146.252604893,10,5457,-0.9507956048729934,-0.07954794991208386,17.47589752971393,1.9805333653739043
JFR,loan,3647146.252604893,21,5446,-4.703430556907843,-0.18181761945294592,23.09280192086058,1.102429846065908
JFR,loan,3647146.252604893,63,5404,0.1220747414370969,0.0017099044201616931,62.74901327415854,0.852684115594176
MFM,muni,1301043.1046894619,5,6673,-16.065008301273448,-2.9702406125946172,10.31231702396506,3.466898631940114
MFM,muni,1301043.1046894619,10,6668,-20.327423006912728,-2.4818204520056275,16.981068302610268,3.662559906693116
MFM,muni,1301043.1046894619,21,6657,-27.318709355127634,-1.8054691872745001,26.528833036836154,2.8737615977405286
MFM,muni,1301043.1046894619,63,6615,-62.79655615827114,-1.7082321393313613,24.997076488778763,1.0149412775806792
MHD,muni,4172709.796528589,5,6839,-9.51439202651567,-1.8176630619325893,8.26290266399043,2.5140728947445488
MHD,muni,4172709.796528589,10,6834,-17.85856224029705,-1.966534367152426,11.12710191889192,2.1523651794037346
MHD,muni,4172709.796528589,21,6823,-29.02484135095558,-1.9826653017442546,14.722811364963867,1.5438798261736146
MHD,muni,4172709.796528589,63,6781,-91.55435015944988,-2.633367821763442,-2.954506729833937,-0.11443313176297487
MQY,muni,4366492.198898679,5,6839,-15.251475219847581,-3.6192640162689576,7.020941277464386,2.30842931356751
MQY,muni,4366492.198898679,10,6834,-24.776164065193555,-3.1099322915172816,5.998827538806511,1.29696601793331
MQY,muni,4366492.198898679,21,6823,-38.08970396067388,-2.6697132755918216,6.719658135671294,0.7576659332058228
MQY,muni,4366492.198898679,63,6781,-73.12708277423049,-2.176881845853319,-8.38984728083198,-0.360112126256438
MSD,emd,542561.2905797504,5,4643,-3.302563298690019,-0.5066753462462732,6.085306425780672,1.5925606445715477
MSD,emd,542561.2905797504,10,4638,-0.17368023696965118,-0.016284758519002792,12.46475146248389,1.46837150998178
MSD,emd,542561.2905797504,21,4627,4.398235223647143,0.1936591168755512,19.992931090805055,1.1263840584635698
MSD,emd,542561.2905797504,63,4585,-3.653613731673268,-0.06975269903494966,15.179648178969785,0.38892895149277207
NAD,muni,6985125.749401819,5,6602,-8.615857186127156,-1.9987695760932371,6.405109428295678,2.5887833014823736
NAD,muni,6985125.749401819,10,6597,-12.440205288198237,-1.5383375231170764,8.776605302717732,1.9469866465593713
NAD,muni,6985125.749401819,21,6586,-16.431408710965385,-1.1767785354923415,12.627652662469124,1.4126159612851243
NAD,muni,6985125.749401819,63,6544,-41.79301524345653,-1.2320363520403872,-0.13773029198027212,-0.005872793343702098
NAN,muni,729673.7109320505,5,6603,-4.1508553295994295,-0.9096426700022902,5.279189563168848,1.6705409671412177
NAN,muni,729673.7109320505,10,6598,-8.525818213690815,-1.0531052433082546,4.759184361628167,0.9488462727591814
NAN,muni,729673.7109320505,21,6587,-13.561455160070878,-0.9648062492809696,1.9197364793104068,0.20988355300142075
NAN,muni,729673.7109320505,63,6545,-38.06296902520976,-1.0712510874883476,-20.399698884085183,-0.8759176057849418
NEA,muni,8880977.016848609,5,5795,-7.9072508001593595,-1.6251350984324058,5.93044577767582,1.875034430652569
NEA,muni,8880977.016848609,10,5790,-11.579498666996239,-1.2405595952349737,8.711479748281578,1.5380910848249902
NEA,muni,8880977.016848609,21,5779,-11.565930474557767,-0.770034428628704,13.29789977368833,1.2927192836575787
NEA,muni,8880977.016848609,63,5737,-10.05501239126228,-0.27795727016329014,11.850358695484582,0.4544418947684603
NIM,muni,140801.6673905509,5,6603,-11.587289764590928,-4.7331612143090664,1.9250800391283274,1.6441440705513304
NIM,muni,140801.6673905509,10,6598,-18.168597865117313,-4.4495966076066775,2.087364518634128,1.0707703965017483
NIM,muni,140801.6673905509,21,6587,-25.027431624993394,-3.5413958231913623,1.7805715929856578,0.4939838423230681
NIM,muni,140801.6673905509,63,6545,-52.879105392084284,-2.8033083484123886,-4.958411926158636,-0.4770725568200841
NVG,muni,5747153.364662897,5,5881,-5.05627555810662,-1.0641650596356973,6.984050198540305,2.055401134274433
NVG,muni,5747153.364662897,10,5876,-9.324500876497535,-1.1217086581461237,8.313563679620131,1.6864771214697114
NVG,muni,5747153.364662897,21,5865,-13.443903862788488,-0.9269570546652607,10.249557239929679,1.0907187542595702
NVG,muni,5747153.364662897,63,5823,-23.602409965978843,-0.6027182238901618,1.7373596025873328,0.06447241026886971
NXP,muni,1901349.2452348978,5,6603,-12.650762367046164,-4.503784280144012,2.8988703671783895,1.9884215646735066
NXP,muni,1901349.2452348978,10,6598,-17.803629248279222,-3.6421853941484708,4.4016534222802015,1.8365870731719594
NXP,muni,1901349.2452348978,21,6587,-21.64204709753471,-2.3852412172008917,7.583356207065528,1.6502167060024606
NXP,muni,1901349.2452348978,63,6545,-52.371948249781376,-1.7824614041154767,6.153977919339233,0.369312736207566
NZF,muni,6541339.9292673385,5,6019,-3.8226590120462665,-0.682232423229822,7.696146571909919,2.0598131815070553
NZF,muni,6541339.9292673385,10,6014,-6.29541159216898,-0.6898128840762907,10.198188410129006,1.937596841513016
NZF,muni,6541339.9292673385,21,6003,-3.4656346944346472,-0.2392730994102712,14.79275304567986,1.605082225766428
NZF,muni,6541339.9292673385,63,5961,-6.9408533877955865,-0.18339498150694897,9.252854320936656,0.3563836579143557
PCN,multi,3664064.627638317,5,5754,-34.81938211369825,-4.172203849901255,-1.435643164376735,-0.3649670021036293
PCN,multi,3664064.627638317,10,5749,-60.95128115551366,-3.9177828307222464,-5.8489934182935075,-0.6752594522475334
PCN,multi,3664064.627638317,21,5738,-121.40544748504202,-3.5542019957873983,-24.486617837263072,-1.2225686739526103
PCN,multi,3664064.627638317,63,5696,-188.8262328059741,-3.155483565474014,-23.886484697623295,-0.5843795630929632
PDI,multi,40786717.34647296,5,3438,-24.87544130451055,-2.4563025095378763,4.963066116292726,0.7371311308957756
PDI,multi,40786717.34647296,10,3433,-37.45954945251785,-2.8219119247510065,8.377435707843189,0.9060578581831352
PDI,multi,40786717.34647296,21,3422,-61.29814915915761,-3.2254317439103,8.771176268918108,0.7275291637003295
PDI,multi,40786717.34647296,63,3380,-130.04465950446445,-2.3681120019220794,-11.954650804477787,-0.3208655274655187
PDO,multi,6940625.707567306,5,1253,-35.189264723987044,-2.3019923168623393,0.17147982740262566,0.025662214551505892
PDO,multi,6940625.707567306,10,1248,-52.0365515788803,-1.970601118174566,2.840114045378023,0.21266654581952937
PDO,multi,6940625.707567306,21,1237,-55.790158274229476,-1.20584627081463,16.68969329995832,0.6943584271581679
PDO,multi,6940625.707567306,63,1195,-11.33932185317163,-0.08778599278158472,91.9815885583156,1.213287558051779
PFL,multi,2400311.5996042886,5,4700,-17.91769467187099,-1.6621287844956656,21.44172630395905,3.0822813354123575
PFL,multi,2400311.5996042886,10,4695,-23.96118061870329,-1.2940937160909474,35.55808566351301,2.50258909256458
PFL,multi,2400311.5996042886,21,4684,-59.61741274175681,-1.459668051804079,47.69403164211532,1.4946148510367117
PFL,multi,2400311.5996042886,63,4642,-32.9555209791031,-0.3373312263306132,135.38441600677538,1.4284357108022725
PFN,multi,4712018.705785843,5,4700,-11.0815616723838,-1.1173027769195225,23.868590670152148,3.291038367685381
PFN,multi,4712018.705785843,10,4695,-5.966231906192913,-0.3371575929882698,42.78015393535969,2.7355382801004984
PFN,multi,4712018.705785843,21,4684,-9.338786108975599,-0.2625397017139041,72.23649511144403,2.1645577386656223
PFN,multi,4712018.705785843,63,4642,67.12360348710162,0.6936905826044387,203.44421706961842,2.047768957289072
PHK,multi,5422517.501206625,5,5492,-16.097022191768506,-1.3587108832711583,7.335848826039782,1.0976204430552892
PHK,multi,5422517.501206625,10,5487,-22.613895105877205,-0.9857181926905373,12.65537162457025,0.8582041134676207
PHK,multi,5422517.501206625,21,5476,-58.995838539350274,-1.3036181242232423,8.233215232281752,0.2658362787074992
PHK,multi,5422517.501206625,63,5434,-83.32142744331097,-1.1333964258181282,92.47364949251264,1.636048640141304
PMM,muni,552482.2384493692,5,6550,-13.946848130205657,-3.768407899594873,7.328532519748727,3.3336588135744893
PMM,muni,552482.2384493692,10,6545,-24.039942517818552,-3.5524100017244753,8.325248114699807,2.596190233234946
PMM,muni,552482.2384493692,21,6534,-35.26508641812925,-2.5427904978153975,10.830328304018636,1.5318155319850078
PMM,muni,552482.2384493692,63,6492,-86.6909449358972,-2.450613802787928,-0.7025001584929169,-0.03263889469463979
